uid,salary_fairness,compensation_competitiveness,benefits_adequacy,workload_balance,schedule_flexibility,leave_policies_adequacy,workplace_safety_comfort,positive_inclusive_culture,access_to_tools_resources,professional_growth_opportunities,training_skill_development,clear_career_paths,manager_communication_clarity,raising_concerns_comfortability,manager_support_for_employees,job_security_feeling,organizational_financial_stability,open_communication_on_changes,team_collaboration_effectiveness,colleague_respect_support,constructive_conflict_management,clear_job_responsibilities,autonomy_in_role,role_alignment_with_skills,acknowledgement_of_contributions,fair_performance_evaluations,fair_rewards_for_effort,mission_values_meaningful,encouragement_of_innovation,Company_acts_ethically,free_text_box,sentiment_label
081d3197-6200-4c7a-abb9-6c2f69928b6a,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,4,3,4,3,I have mixed feelings. The new policy is regular.,Neutral
a07b4b32-bafd-4f6a-b423-9157e4b41d5f,1,2,2,2,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,1,I've found career progression to be stagnant and unclear.,Negative
bfb1e3d1-7a41-43cf-9162-a7b9a26f6023,4,4,5,4,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,4,5,4,5,4,4,5,4,4,5,4,The company's mission is enjoy and I feel aligned with its values.,Positive
241188a6-6c46-4ff3-bf3f-9c1d60e84abb,4,3,3,3,3,4,4,3,3,4,3,3,3,3,4,3,4,4,4,4,3,4,3,4,3,4,4,4,3,3,I find the level of autonomy to be expected.,Neutral
1606237f-b9e9-4677-8a59-daf5a3cade81,4,5,4,4,5,4,4,5,4,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,4,5,5,4,5,4,I am great with the company culture.,Positive
80df8440-1ec7-4ee4-97c8-179759ef5904,4,4,4,4,4,4,4,5,4,5,4,5,5,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,5,5,The workplace environment is great and promotes great collaboration.,Positive
ff77275e-d69e-4ed2-94a1-0d927b552b39,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,I'm unhappy with my salary. It is unhappy for my experience.,Negative
eb5f3575-aed1-4aaf-9ad3-9150f048bb5b,4,4,4,5,4,5,4,4,4,4,5,4,5,5,4,5,4,4,5,5,5,4,5,4,4,4,5,4,5,5,The professional growth opportunities here are excellent.,Positive
c880d067-1e31-42a1-9a54-741fbf061a75,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,I'm unhappy with my salary. It is unhappy for my experience.,Negative
7d2544f4-cdbb-4cc8-9ef5-cbdc9721cfe1,5,4,5,4,5,5,4,5,4,5,5,4,4,4,4,5,4,4,4,5,5,4,5,4,5,4,5,4,5,5,My manager is so fantastic. I am fantastic with the leadership.,Positive
1c6d4e12-7cb7-4f77-8a3d-cad08d5dba0e,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,The tools and resources provided are toxic to perform my job effectively.,Negative
378b95b1-2388-4b4c-ba9e-72411517ca8f,4,4,3,4,4,3,3,3,3,4,4,3,4,4,3,4,4,3,3,4,3,4,4,3,3,3,4,3,4,3,The training provided is typical. It serves its purpose.,Neutral
05fa9724-9a08-47d8-b67c-22655ec11e7d,5,4,4,5,4,4,4,5,5,4,4,5,4,5,5,5,4,5,5,5,4,4,5,5,5,5,4,4,4,4,I am enjoy with the company culture.,Positive
892a55ab-d837-47c2-990f-ad486e433df4,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,I've found career progression to be mess and unclear.,Negative
8843dfe4-9129-4bbe-8aa9-3bcadecc5228,5,5,4,4,5,4,5,4,4,5,5,5,5,4,4,5,5,4,4,4,4,5,4,4,5,4,5,5,5,4,The workplace environment is proud and promotes proud collaboration.,Positive
d019240c-b178-4f79-8984-e381f4315102,3,4,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,4,4,4,3,4,4,4,3,4,Performance evaluations are acceptable and generally follow the same format.,Neutral
a3fa7dc0-ea5d-467e-936a-8e856786d63a,5,4,5,4,4,5,5,4,4,4,4,5,5,4,5,5,4,5,5,5,4,4,4,4,5,5,4,4,4,4,I am supportive with the company culture.,Positive
379c6800-2595-40c0-9756-705e796cca87,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,2,The workload is low and I have a low work-life balance.,Negative
d2c2888d-4911-460d-b593-5a8487b604bd,4,4,3,3,4,4,4,3,4,3,3,3,4,3,4,3,3,3,4,4,3,3,4,3,4,4,4,3,3,3,The training provided is fine. It serves its purpose.,Neutral
d0c54cb2-916c-43ba-9e3d-7422beced7e7,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,"My contributions feel completely low, and I am not low for my work.",Negative
eb14d144-d606-47fa-86bb-c9a5e693866f,4,4,4,4,3,3,4,3,4,3,4,3,4,3,3,4,4,4,3,4,4,3,4,3,4,3,3,3,3,4,The training provided is standard. It serves its purpose.,Neutral
bf7b47f4-4863-42b1-8194-eb67580432e7,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,4,4,3,3,The company's approach to innovation is quite adequate.,Neutral
0cb73de8-1fb3-4495-8b17-ebfaf3641841,5,4,4,5,5,5,4,4,4,5,4,4,4,4,4,4,5,4,5,5,4,4,4,5,5,4,4,4,4,5,The workplace environment is happy and promotes happy collaboration.,Positive
aa33ae68-9b15-49d6-9b60-b252dfb68e11,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,4,4,4,3,3,4,3,I find the level of autonomy to be expected.,Neutral
b2b9f469-9e88-41aa-bbfd-f8426a58f387,4,5,5,5,4,5,4,5,5,5,5,4,4,4,4,5,5,5,4,4,5,4,4,4,5,5,4,5,5,4,I am fantastic with the company culture.,Positive
8b078f18-353f-457c-9395-d1a31ad6fa12,3,4,3,3,3,3,4,3,3,4,4,4,3,4,3,3,4,3,4,4,4,3,3,4,3,4,4,3,4,4,I have mixed feelings. The new policy is standard.,Neutral
e7ed15b6-3d41-4011-9527-ad708c947ccb,4,3,4,4,3,3,3,4,4,4,3,3,4,4,4,3,3,4,4,3,4,4,4,3,3,4,3,3,4,3,My benefits are adequate and meet my basic needs.,Neutral
1566a2e5-9891-4816-b48d-9e4320a03dd3,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,I'm terrible with my salary. It is terrible for my experience.,Negative
0612bda9-df38-4f32-9421-ee61b8c36c3c,4,4,4,5,5,5,5,4,5,4,5,5,4,5,5,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,I am enjoy with the company culture.,Positive
fdccd21a-3bb5-4c99-9db2-97c83f0255e0,2,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,1,2,1,1,Communication is a toxic here. I am toxic with management.,Negative
a086e09b-66bb-4f3f-a245-faba6e430f8c,3,3,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,My job is regular. The responsibilities are regular.,Neutral
03647e27-e3b3-4461-9b48-b9aa5dfee10e,2,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,Communication is a problem here. I am problem with management.,Negative
321948e7-6170-405d-991f-83742a73130a,5,5,5,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,I feel love about my job. The team is love.,Positive
3d25f70a-792c-41b6-a6b2-3abb3831bbe4,5,5,4,4,4,5,4,5,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,The workplace environment is supportive and promotes supportive collaboration.,Positive
221f917e-bb87-499b-83e7-2c6b9bf55b05,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,The tools and resources provided are toxic to perform my job effectively.,Negative
ec214bce-e6ba-4c31-86ef-137020785ca6,2,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,2,1,2,There's a unhappy culture and a unhappy of respect.,Negative
be88a7d6-e787-4517-b60a-a4c87be84599,3,4,3,4,3,3,4,4,3,3,3,3,3,4,4,4,4,3,4,3,4,4,3,3,4,4,3,4,4,4,I have mixed feelings. The new policy is fine.,Neutral
74024e8f-b75a-4dea-b526-c920638eb202,4,3,4,3,4,3,4,4,3,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3,The company's approach to innovation is quite fine.,Neutral
70627e6a-02d1-4ae9-978c-f63c37074c33,5,5,5,4,5,5,4,4,5,5,4,5,5,5,4,5,5,5,5,4,5,5,4,4,4,4,4,5,4,5,The workplace environment is great and promotes great collaboration.,Positive
104ddd5b-19a6-4265-a319-555f4bbd831e,5,5,4,4,5,5,5,5,4,5,5,4,4,5,4,4,5,4,4,4,5,5,5,5,4,5,5,5,4,4,The workplace environment is enjoy and promotes enjoy collaboration.,Positive
8798d24b-2aea-4aed-945c-7d3928d071ef,4,3,3,3,4,4,4,4,3,3,4,3,4,3,4,3,4,4,4,3,4,4,3,4,3,3,3,4,3,3,Performance evaluations are acceptable and generally follow the same format.,Neutral
66a2d7c6-2bde-412d-9fd1-4804595598b8,5,4,5,5,5,4,4,4,5,5,4,4,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,4,The professional growth opportunities here are fantastic.,Positive
f0b3623f-fafb-4e7c-be66-2484c74bc549,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,2,1,There's a toxic culture and a toxic of respect.,Negative
3e7204d2-2167-435d-86f0-754529687148,4,5,4,4,4,5,4,4,4,5,4,4,4,4,4,5,4,4,4,5,5,5,5,4,5,4,5,4,5,5,I feel proud about my job. The team is proud.,Positive
70f57d79-3ea0-46ae-bbbc-6100949c8e26,2,2,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,"My contributions feel completely terrible, and I am not terrible for my work.",Negative
14c0553f-755c-4ac2-843e-792d476cad9b,3,4,3,3,4,4,3,3,4,4,3,4,4,3,3,3,4,4,4,4,3,3,3,4,4,3,4,3,3,4,My job is adequate. The responsibilities are adequate.,Neutral
934c924c-27e3-4c3f-8a7c-65f67f40cddf,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,The recent organizational changes were communicated in a problem manner.,Negative
c97ad173-c488-402e-aef8-61981576bc94,4,5,4,5,4,5,5,4,4,5,4,4,5,5,4,4,4,4,4,5,5,4,5,4,4,4,4,4,5,4,My manager is so love. I am love with the leadership.,Positive
d656423d-9eed-4eb6-a8b2-a6a326ac7c13,4,5,5,4,4,4,5,4,5,5,4,4,4,4,5,4,4,5,5,4,4,5,5,4,5,5,4,4,4,4,The compensation is enjoy and I feel enjoy enjoy.,Positive
cd2c34f9-1bfd-414d-81e0-1b7539b0b3e7,4,4,4,5,5,4,4,5,5,5,4,4,4,5,4,4,5,4,5,5,5,4,4,4,5,4,4,5,5,4,The workplace environment is enjoy and promotes enjoy collaboration.,Positive
40099d59-7c4c-4697-9f26-f73e357a7de1,3,3,3,4,4,3,3,3,4,3,3,3,3,4,3,4,3,4,3,3,4,3,4,4,4,4,3,4,4,4,The training provided is average. It serves its purpose.,Neutral
845806cb-4e86-4760-b2c4-0a841d3f9f2a,1,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,I've found career progression to be problem and unclear.,Negative
0e5ca31f-e51c-482d-b3e0-0c1a78c1902f,3,3,3,4,3,4,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,3,4,3,4,3,4,4,4,4,Everything is just acceptable. There's nothing much to say.,Neutral
96414c6f-a9a7-4c37-a5bd-0ec825941566,4,4,5,5,5,4,5,4,4,5,5,4,5,5,4,4,5,5,5,5,5,4,5,5,4,5,5,4,4,4,I'm truly supportive with the recognition I've received.,Positive
8294571d-78f2-468e-99ad-fb958e76e30f,2,2,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,I'm unhappy with my salary. It is unhappy for my experience.,Negative
1df52fff-19db-4421-b9e3-56265dadd374,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,4,5,5,4,4,5,4,4,4,4,5,I feel happy about my job. The team is happy.,Positive
8f8ded0f-e55b-4517-a96a-d43832a87c7d,4,5,5,4,5,5,5,5,4,4,5,4,5,4,4,4,5,4,4,5,4,5,4,5,4,5,5,4,5,5,The professional growth opportunities here are excellent.,Positive
004be5be-6328-4087-844d-59a6a6732bd1,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,Communication is a toxic here. I am toxic with management.,Negative
35894942-459b-4295-8c71-33743a7638f9,5,4,4,5,4,4,4,5,4,5,4,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,I feel excellent about my job. The team is excellent.,Positive
37446cf0-3b2f-4a84-9fa9-a0d44479aead,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,2,1,Communication is a problem here. I am problem with management.,Negative
485774cd-5bb6-4e7a-84ac-86ac522fb470,5,5,4,4,4,4,4,4,4,4,5,5,4,5,4,5,5,5,4,4,4,4,4,4,5,4,4,5,5,5,I'm truly supportive with the recognition I've received.,Positive
6e324ef5-e92d-4bc3-81e5-a8675746dc36,4,4,4,3,3,3,4,3,4,4,4,4,3,3,4,4,4,4,3,3,3,3,4,3,3,3,4,4,3,3,The training provided is average. It serves its purpose.,Neutral
d8ec11a8-297a-461c-8876-67036c0ccda7,5,5,4,4,4,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,4,4,4,5,5,5,4,I'm truly enjoy with the recognition I've received.,Positive
2d299731-7ef7-422d-9a9d-3d9b15bc73f7,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,I've found career progression to be unhappy and unclear.,Negative
fe3f5000-41f2-43de-a78e-f621a0f37c3c,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,4,4,4,5,5,4,5,4,5,5,5,5,4,4,5,My manager is so valued. I am valued with the leadership.,Positive
76056bd9-9e26-4af6-8c5f-622d21a1830a,3,4,3,4,3,3,4,4,3,4,4,3,3,3,3,4,3,4,4,4,4,3,4,3,3,4,3,4,4,4,The company's approach to innovation is quite okay.,Neutral
ffc910f5-07a4-4601-9434-4e1af10c228f,5,4,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,I'm truly love with the recognition I've received.,Positive
7a837438-1b6c-4bb2-8e45-cc86f6aaa968,5,4,4,4,5,5,4,4,4,5,4,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4,4,5,5,I am wonderful with the company culture.,Positive
891d5548-6a78-4247-89ec-b57df17bc3a4,3,3,3,4,4,3,4,4,3,4,4,3,4,3,3,4,3,4,4,4,3,3,4,3,3,4,4,3,3,4,The company's approach to innovation is quite regular.,Neutral
f65f70ea-98a2-47e6-a70c-b41c56d4f906,4,4,3,4,4,4,3,4,3,4,3,4,4,3,4,4,4,3,3,3,3,3,4,3,3,4,3,3,3,4,My benefits are okay and meet my basic needs.,Neutral
5dd1312c-073c-4c87-844b-c728ec978374,5,5,4,5,4,4,4,4,5,5,4,5,4,4,5,5,5,4,5,5,4,4,5,4,5,4,4,4,4,4,The company's mission is love and I feel aligned with its values.,Positive
0878cb7e-782b-4295-b7e0-f628f515489b,4,4,4,5,4,4,4,4,5,4,4,5,5,5,5,4,4,5,4,5,4,4,5,5,5,5,5,5,4,5,I'm truly great with the recognition I've received.,Positive
c5a88e6c-3dcf-49cb-b026-700f804c7e22,5,4,4,4,5,4,4,5,5,5,5,4,4,4,4,5,4,5,4,4,5,4,4,4,5,4,5,5,5,4,I'm truly proud with the recognition I've received.,Positive
1c1f8336-6572-4c0e-bd58-01b2001df2da,4,4,5,4,5,5,5,4,4,4,5,4,4,5,4,5,5,4,4,4,5,4,4,4,4,4,4,5,5,5,The company's mission is proud and I feel aligned with its values.,Positive
ef912514-f2d9-4c50-9a7c-d72b1ae00402,3,4,3,3,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,3,3,4,3,4,4,4,4,3,4,Performance evaluations are standard and generally follow the same format.,Neutral
dac28633-2e22-443f-8371-11c417f66f97,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,4,5,4,5,4,4,5,5,4,4,4,5,4,5,4,The company's mission is valued and I feel aligned with its values.,Positive
0a9ff606-97b7-46cd-b730-01f352b26ab3,4,5,5,5,4,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,4,I feel valued about my job. The team is valued.,Positive
f446111d-1e05-4543-94b0-2de927e6dff4,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,2,I've found career progression to be poor and unclear.,Negative
f43fb470-e6da-473d-b1af-258d88e90d73,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,2,2,I'm unbearable with my salary. It is unbearable for my experience.,Negative
9735d026-8653-4742-9f34-00326ada345b,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,The workload is low and I have a low work-life balance.,Negative
5beb53bd-e43e-40c5-8077-fedd7016851b,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,1,1,I'm mess with my salary. It is mess for my experience.,Negative
c0490c19-56ad-48ab-b994-ebc10d6afe76,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,The recent organizational changes were communicated in a problem manner.,Negative
a5c3ff83-ad52-4fa1-9329-b9fe5718aa1b,2,2,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,2,1,2,1,The recent organizational changes were communicated in a unbearable manner.,Negative
2cfeeef2-e581-4855-8193-3cc110a7a92e,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,3,4,3,4,4,3,3,4,4,3,4,3,3,4,4,I find the level of autonomy to be standard.,Neutral
b2c3e8b9-6d7f-453f-b8c5-dd122b9605e3,4,4,4,4,4,3,3,3,4,3,4,4,3,4,3,4,4,4,3,4,4,4,3,3,4,3,4,4,3,4,Performance evaluations are okay and generally follow the same format.,Neutral
a29faca4-818f-4ff2-b186-539edb82e0d8,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,2,There's a difficult culture and a difficult of respect.,Negative
e687538f-989b-453a-adb6-304e67936d91,4,5,5,5,5,4,5,4,5,4,4,5,5,4,5,4,4,4,5,4,4,5,4,5,5,5,4,4,5,5,The compensation is enjoy and I feel enjoy enjoy.,Positive
d8e70620-f63d-4f44-9088-fa1e7a115222,1,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,2,1,1,2,2,The recent organizational changes were communicated in a unbearable manner.,Negative
3c13702e-d6f2-410a-8ff0-75311437d05b,3,4,3,3,4,3,4,4,4,4,4,3,3,4,4,4,3,4,3,4,3,4,4,4,3,4,4,3,4,4,Everything is just okay. There's nothing much to say.,Neutral
3c7421c3-1ac1-43ec-87b6-adc4ce38d8a9,5,5,4,5,5,5,5,5,4,5,4,4,4,4,5,5,4,5,4,5,4,5,5,5,5,4,4,5,5,5,The compensation is supportive and I feel supportive supportive.,Positive
b2a2f918-03dc-40e7-a3fc-b8365661f2cc,4,3,3,4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,3,4,3,4,3,3,4,3,3,3,I find the level of autonomy to be regular.,Neutral
