uid,review_date,salary_fairness,compensation_competitiveness,benefits_adequacy,workload_balance,schedule_flexibility,leave_policies_adequacy,mission_values_meaningful,positive_inclusive_culture,company_values_alignment,diversity_hiring_promotion,employees_feel_included,respectful_welcoming_environment,professional_growth_opportunities,training_skill_development,clear_career_paths,manager_communication_clarity,raising_concerns_comfortability,manager_support_for_employees,free_text_box
fdccd21a-3bb5-4c99-9db2-97c83f0255e0,2024-01-02,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,Communication is a toxic here. I am toxic with management.
a086e09b-66bb-4f3f-a245-faba6e430f8c,2024-03-30,3,3,4,3,3,4,3,3,4,3,4,4,3,4,3,4,4,3,My job is regular. The responsibilities are regular.
03647e27-e3b3-4461-9b48-b9aa5dfee10e,2024-03-03,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,Communication is a problem here. I am problem with management.
321948e7-6170-405d-991f-83742a73130a,2024-05-23,5,5,5,4,4,4,5,5,5,5,5,4,5,4,4,4,4,4,I feel love about my job. The team is love.
3d25f70a-792c-41b6-a6b2-3abb3831bbe4,2023-02-04,5,5,4,4,4,5,4,5,3,5,5,5,4,4,5,4,5,5,The workplace environment is supportive and promotes supportive collaboration.
221f917e-bb87-499b-83e7-2c6b9bf55b05,2023-07-25,2,2,1,2,2,1,1,1,2,1,3,1,1,1,1,2,2,1,The tools and resources provided are toxic to perform my job effectively.
ec214bce-e6ba-4c31-86ef-137020785ca6,2023-03-22,2,2,1,1,2,1,2,2,3,2,2,2,1,2,2,1,1,1,There's a unhappy culture and a unhappy of respect.
be88a7d6-e787-4517-b60a-a4c87be84599,2024-07-15,3,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,4,4,I have mixed feelings. The new policy is fine.
74024e8f-b75a-4dea-b526-c920638eb202,2024-01-23,4,3,4,3,4,3,4,4,3,4,4,3,4,4,4,4,3,4,The company's approach to innovation is quite fine.
70627e6a-02d1-4ae9-978c-f63c37074c33,2023-01-02,5,5,5,4,5,5,5,4,5,4,5,4,5,4,5,5,5,4,The workplace environment is great and promotes great collaboration.
104ddd5b-19a6-4265-a319-555f4bbd831e,2024-01-25,5,5,4,4,5,5,5,5,4,5,5,4,5,5,4,4,5,4,The workplace environment is enjoy and promotes enjoy collaboration.
8798d24b-2aea-4aed-945c-7d3928d071ef,2024-07-19,4,3,3,3,4,4,4,4,4,3,3,4,3,4,3,4,3,4,Performance evaluations are acceptable and generally follow the same format.
66a2d7c6-2bde-412d-9fd1-4804595598b8,2023-04-16,5,4,5,5,5,4,5,4,4,5,4,4,5,4,4,4,5,4,The professional growth opportunities here are fantastic.
f0b3623f-fafb-4e7c-be66-2484c74bc549,2024-04-21,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,There's a toxic culture and a toxic of respect.
3e7204d2-2167-435d-86f0-754529687148,2024-12-03,4,5,4,4,4,5,4,4,4,4,5,4,5,4,4,4,4,4,I feel proud about my job. The team is proud.
70f57d79-3ea0-46ae-bbbc-6100949c8e26,2024-02-06,2,2,2,2,1,2,1,1,2,2,1,1,1,2,1,1,2,1,"My contributions feel completely terrible, and I am not terrible for my work."
14c0553f-755c-4ac2-843e-792d476cad9b,2024-12-30,3,4,3,3,4,4,3,3,4,3,4,4,4,3,4,4,3,3,My job is adequate. The responsibilities are adequate.
934c924c-27e3-4c3f-8a7c-65f67f40cddf,2024-07-09,1,2,2,1,2,2,2,2,1,1,1,2,1,2,2,1,2,1,The recent organizational changes were communicated in a problem manner.
c97ad173-c488-402e-aef8-61981576bc94,2023-06-11,4,5,4,5,4,5,4,4,4,4,4,4,5,4,4,5,5,4,My manager is so love. I am love with the leadership.
d656423d-9eed-4eb6-a8b2-a6a326ac7c13,2023-07-21,4,5,5,4,4,4,4,4,4,4,3,3,5,4,4,4,4,5,The compensation is enjoy and I feel enjoy enjoy.
cd2c34f9-1bfd-414d-81e0-1b7539b0b3e7,2023-09-27,4,4,4,5,5,4,5,5,4,5,5,5,5,4,4,4,5,4,The workplace environment is enjoy and promotes enjoy collaboration.
40099d59-7c4c-4697-9f26-f73e357a7de1,2023-09-28,3,3,3,4,4,3,4,3,4,4,4,3,3,3,3,3,4,3,The training provided is average. It serves its purpose.
845806cb-4e86-4760-b2c4-0a841d3f9f2a,2024-03-31,1,2,2,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,I've found career progression to be problem and unclear.
0e5ca31f-e51c-482d-b3e0-0c1a78c1902f,2024-04-06,3,3,3,4,3,4,4,3,4,4,4,4,3,3,4,3,3,4,Everything is just acceptable. There's nothing much to say.
96414c6f-a9a7-4c37-a5bd-0ec825941566,2024-12-27,4,4,5,5,5,4,4,4,4,5,4,4,5,5,4,5,5,4,I'm truly supportive with the recognition I've received.
8294571d-78f2-468e-99ad-fb958e76e30f,2023-09-09,2,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,2,I'm unhappy with my salary. It is unhappy for my experience.
1df52fff-19db-4421-b9e3-56265dadd374,2024-12-02,5,4,4,5,4,4,4,4,5,3,4,4,4,4,4,4,5,4,I feel happy about my job. The team is happy.
8f8ded0f-e55b-4517-a96a-d43832a87c7d,2023-10-23,4,5,5,4,5,5,4,5,4,4,5,5,4,5,4,5,4,4,The professional growth opportunities here are excellent.
004be5be-6328-4087-844d-59a6a6732bd1,2024-12-25,2,2,1,2,2,2,1,1,1,1,3,1,1,1,1,2,2,2,Communication is a toxic here. I am toxic with management.
35894942-459b-4295-8c71-33743a7638f9,2024-12-20,5,4,4,5,4,4,5,5,5,5,3,4,5,4,5,5,5,5,I feel excellent about my job. The team is excellent.
37446cf0-3b2f-4a84-9fa9-a0d44479aead,2023-12-04,1,2,2,2,2,2,1,2,1,2,1,3,1,1,1,2,1,1,Communication is a problem here. I am problem with management.
485774cd-5bb6-4e7a-84ac-86ac522fb470,2023-02-22,5,5,4,4,4,4,5,4,5,4,5,4,4,5,5,4,5,4,I'm truly supportive with the recognition I've received.
6e324ef5-e92d-4bc3-81e5-a8675746dc36,2023-08-05,4,4,4,3,3,3,4,3,3,2,3,2,4,4,4,3,3,4,The training provided is average. It serves its purpose.
d8ec11a8-297a-461c-8876-67036c0ccda7,2023-07-07,5,5,4,4,4,5,5,5,4,5,5,4,4,4,4,4,4,5,I'm truly enjoy with the recognition I've received.
2d299731-7ef7-422d-9a9d-3d9b15bc73f7,2024-01-15,1,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,I've found career progression to be unhappy and unclear.
fe3f5000-41f2-43de-a78e-f621a0f37c3c,2024-05-07,5,5,5,5,4,4,4,5,5,4,5,5,5,5,4,5,5,5,My manager is so valued. I am valued with the leadership.
76056bd9-9e26-4af6-8c5f-622d21a1830a,2023-02-10,3,4,3,4,3,3,4,4,5,4,4,4,4,4,3,3,3,3,The company's approach to innovation is quite okay.
ffc910f5-07a4-4601-9434-4e1af10c228f,2023-06-06,5,4,4,4,5,5,5,4,5,5,5,4,4,4,4,5,5,5,I'm truly love with the recognition I've received.
7a837438-1b6c-4bb2-8e45-cc86f6aaa968,2023-01-15,5,4,4,4,5,5,4,4,5,4,5,4,5,4,5,5,5,5,I am wonderful with the company culture.
891d5548-6a78-4247-89ec-b57df17bc3a4,2023-03-06,3,3,3,4,4,3,3,4,3,4,4,5,4,4,3,4,3,3,The company's approach to innovation is quite regular.
f65f70ea-98a2-47e6-a70c-b41c56d4f906,2024-06-04,4,4,3,4,4,4,3,4,3,3,4,4,4,3,4,4,3,4,My benefits are okay and meet my basic needs.
5dd1312c-073c-4c87-844b-c728ec978374,2023-12-10,5,5,4,5,4,4,4,4,4,4,5,4,5,4,5,4,4,5,The company's mission is love and I feel aligned with its values.
0878cb7e-782b-4295-b7e0-f628f515489b,2023-05-09,4,4,4,5,4,4,5,4,4,3,5,4,4,4,5,5,5,5,I'm truly great with the recognition I've received.
c5a88e6c-3dcf-49cb-b026-700f804c7e22,2024-10-09,5,4,4,4,5,4,5,5,4,5,3,5,5,5,4,4,4,4,I'm truly proud with the recognition I've received.
1c1f8336-6572-4c0e-bd58-01b2001df2da,2024-04-16,4,4,5,4,5,5,5,4,5,4,5,4,4,5,4,4,5,4,The company's mission is proud and I feel aligned with its values.
ef912514-f2d9-4c50-9a7c-d72b1ae00402,2023-03-04,3,4,3,3,4,4,4,4,3,3,3,2,3,3,4,4,4,3,Performance evaluations are standard and generally follow the same format.
dac28633-2e22-443f-8371-11c417f66f97,2023-05-19,5,5,5,5,5,5,4,5,4,5,5,4,5,5,4,4,4,5,The company's mission is valued and I feel aligned with its values.
0a9ff606-97b7-46cd-b730-01f352b26ab3,2024-05-13,4,5,5,5,4,5,4,4,4,4,5,4,4,5,4,5,5,5,I feel valued about my job. The team is valued.
f446111d-1e05-4543-94b0-2de927e6dff4,2024-08-15,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,1,2,2,I've found career progression to be poor and unclear.
f43fb470-e6da-473d-b1af-258d88e90d73,2024-01-27,1,2,2,1,2,1,2,1,3,1,1,1,1,1,1,2,2,2,I'm unbearable with my salary. It is unbearable for my experience.
9735d026-8653-4742-9f34-00326ada345b,2024-11-05,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,2,The workload is low and I have a low work-life balance.
5beb53bd-e43e-40c5-8077-fedd7016851b,2024-02-23,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,I'm mess with my salary. It is mess for my experience.
c0490c19-56ad-48ab-b994-ebc10d6afe76,2023-10-16,1,2,2,2,1,2,1,1,3,1,1,1,1,1,2,2,2,2,The recent organizational changes were communicated in a problem manner.
a5c3ff83-ad52-4fa1-9329-b9fe5718aa1b,2024-01-14,2,2,2,2,1,2,1,2,2,3,3,1,1,2,2,2,2,1,The recent organizational changes were communicated in a unbearable manner.
2cfeeef2-e581-4855-8193-3cc110a7a92e,2024-05-04,4,4,4,4,4,4,3,3,4,3,4,2,3,3,4,4,4,3,I find the level of autonomy to be standard.
b2c3e8b9-6d7f-453f-b8c5-dd122b9605e3,2023-08-19,4,4,4,4,4,3,4,3,5,2,5,2,3,4,4,3,4,3,Performance evaluations are okay and generally follow the same format.
a29faca4-818f-4ff2-b186-539edb82e0d8,2023-02-10,2,1,1,1,2,1,2,2,2,3,2,2,1,1,1,1,2,2,There's a difficult culture and a difficult of respect.
e687538f-989b-453a-adb6-304e67936d91,2023-01-28,4,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,5,The compensation is enjoy and I feel enjoy enjoy.
d8e70620-f63d-4f44-9088-fa1e7a115222,2023-05-15,1,2,2,1,1,2,1,1,3,1,2,2,1,2,2,2,1,2,The recent organizational changes were communicated in a unbearable manner.
3c13702e-d6f2-410a-8ff0-75311437d05b,2023-07-20,3,4,3,3,4,3,3,4,5,3,4,4,4,4,3,3,4,4,Everything is just okay. There's nothing much to say.
3c7421c3-1ac1-43ec-87b6-adc4ce38d8a9,2023-02-02,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,The compensation is supportive and I feel supportive supportive.
b2a2f918-03dc-40e7-a3fc-b8365661f2cc,2023-02-17,4,3,3,4,3,3,3,3,4,3,3,4,4,4,4,4,3,3,I find the level of autonomy to be regular.
06f2e6ae-f77e-4175-8d76-869360c152e0,2024-05-17,2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,The tools and resources provided are stagnant to perform my job effectively.
cb17e46b-5ea9-42f3-a0b8-01f74f304a94,2024-02-11,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,The workload is poor and I have a poor work-life balance.
fdef941c-2ea7-4155-9ec9-addad10b8906,2024-07-27,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,5,4,5,The professional growth opportunities here are love.
9c5afc99-585e-4b25-89c4-3646c7de911d,2024-12-28,4,4,3,3,4,4,3,3,3,2,2,2,3,4,4,4,3,3,Everything is just standard. There's nothing much to say.
51d9a1ae-ff8c-4c57-8dfa-61331d801dfa,2023-04-09,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,1,The workload is unhappy and I have a unhappy work-life balance.
c041d437-bf18-41e8-8a28-ae927f690414,2024-11-14,5,4,4,4,5,5,4,4,5,5,5,4,4,4,4,5,4,5,My manager is so proud. I am proud with the leadership.
68fba2c9-be40-4e0d-baad-aad80998e2a1,2024-12-26,3,3,4,4,4,3,4,4,3,4,4,4,3,3,3,3,4,3,I have mixed feelings. The new policy is fine.
ac126722-f375-452a-a9df-e9b2319ff91a,2024-06-30,1,1,2,1,2,2,1,1,2,2,2,2,1,1,2,1,1,2,The recent organizational changes were communicated in a difficult manner.
ac691b17-9994-424a-9073-d0d47d206384,2024-09-04,5,5,4,5,4,4,4,5,3,5,5,5,4,4,5,5,5,5,I'm truly enjoy with the recognition I've received.
eb3bbc63-a047-49d4-9a15-7d6791c2e44c,2024-04-06,1,1,2,1,1,1,2,2,2,2,3,2,2,1,2,2,1,1,"My contributions feel completely stagnant, and I am not stagnant for my work."
2fba8c8c-f145-4e27-bc7b-1be6bb88b02c,2024-10-04,5,4,5,4,4,4,5,4,3,5,4,4,4,4,5,4,5,4,I'm truly wonderful with the recognition I've received.
00440d08-a88d-4269-a91f-636799202947,2023-01-05,2,2,1,2,2,1,1,2,2,2,3,2,2,2,2,2,1,2,There's a stagnant culture and a stagnant of respect.
18edaa73-e0fe-4352-94d9-85e59a3c3dc7,2023-08-06,2,1,2,2,1,2,2,1,3,2,2,2,1,2,2,2,1,1,There's a terrible culture and a terrible of respect.
ab3156c8-2290-474a-9b63-18c959ba41fc,2024-05-17,1,2,1,1,2,2,1,2,3,2,2,2,1,1,2,2,1,2,I'm poor with my salary. It is poor for my experience.
9b74b9f6-1670-403f-b69c-a6c9fc9befad,2024-02-02,5,5,4,4,4,4,5,5,5,5,4,4,5,5,4,5,4,4,I feel proud about my job. The team is proud.
f4f0e5bf-7108-4a5a-a6b3-c31589955ece,2024-01-28,2,1,2,2,1,2,1,1,1,1,3,2,2,2,1,2,2,1,The recent organizational changes were communicated in a problem manner.
9b553646-2c3f-4344-ac2b-948a538bec10,2023-07-26,2,2,2,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,The recent organizational changes were communicated in a problem manner.
b9f45801-2e74-4750-9396-a308d5cd3d25,2023-01-15,1,2,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,"My contributions feel completely difficult, and I am not difficult for my work."
89c267cc-7b08-4afa-84bc-c50e6969b0f6,2024-07-07,2,2,1,1,2,2,2,2,2,3,2,2,2,1,2,1,2,2,The recent organizational changes were communicated in a toxic manner.
5d9158b2-aca5-4748-aecb-685f66c92271,2024-04-05,2,2,1,2,2,2,1,2,1,1,2,3,2,1,1,2,1,1,Communication is a unhappy here. I am unhappy with management.
768dc9cb-e3ce-4d84-b7ec-3ea7fb126cff,2024-11-21,2,1,1,2,2,2,2,1,2,2,3,1,1,1,2,1,2,1,Communication is a unbearable here. I am unbearable with management.
0d7da384-d22c-4152-b518-6afaed006fa9,2024-07-28,3,3,4,4,3,3,3,3,4,3,3,2,4,4,3,3,3,4,I have mixed feelings. The new policy is fine.
f32a5f24-0153-4dba-9320-db3ca4bf4ce1,2023-08-29,3,4,4,4,4,3,4,3,2,3,4,4,4,4,4,4,3,4,My job is average. The responsibilities are average.
26c46267-d23e-4b2c-a0f7-0bca9439016a,2024-07-17,1,1,1,2,1,1,1,2,1,2,3,2,2,2,1,2,2,2,The recent organizational changes were communicated in a poor manner.
a97057fb-fffb-4928-a57c-f770d18c4e01,2023-04-06,4,3,4,3,4,3,3,3,4,3,2,3,3,4,4,4,3,4,I have mixed feelings. The new policy is normal.
05009938-ab38-4dde-b771-63db4feaca64,2024-04-29,5,4,4,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,I feel fantastic about my job. The team is fantastic.
366a5cbf-53d6-4211-9a0d-47f774a87239,2024-02-11,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,There's a terrible culture and a terrible of respect.
38621157-279f-4f89-ab26-b95f257aa09b,2023-08-19,4,5,5,4,5,5,5,4,5,4,5,4,4,4,5,5,4,4,The company's mission is supportive and I feel aligned with its values.
bbe94885-bbfc-41ed-9955-7822d7d90641,2024-10-16,3,4,3,4,3,3,4,3,3,3,3,4,4,3,4,4,3,4,Everything is just normal. There's nothing much to say.
4fc44aa3-57ab-4fcb-a5b2-069f10e2e535,2023-06-20,2,2,2,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,"My contributions feel completely unbearable, and I am not unbearable for my work."
947a82fb-6021-4078-80e9-ad7670d9d583,2024-06-24,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,2,The recent organizational changes were communicated in a unbearable manner.
a9e974a6-7a5a-409e-8743-af8b209c5808,2023-02-05,2,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,The tools and resources provided are toxic to perform my job effectively.
